DATE,NAME,TIME,TYPE,1M,3M,6M,9M,1Y,2Y,3Y,4Y,5Y,7Y,10Y
2021-02-10,FR007利率互换收盘曲线,16:30,报买,2.3054,2.5793,2.6400,2.6700,2.7050,2.8103,2.9010,2.9852,3.0771,3.1573,3.3023
2021-02-10,FR007利率互换收盘曲线,16:30,均值,2.3087,2.5909,2.6475,2.6763,2.7100,2.8139,2.9068,2.9901,3.0807,3.1849,3.3374
2021-02-10,FR007利率互换收盘曲线,16:30,报卖,2.3119,2.6025,2.6550,2.6825,2.7150,2.8175,2.9125,2.9950,3.0842,3.2125,3.3725
2021-02-09,FR007利率互换收盘曲线,16:30,报买,2.5979,2.5925,2.6310,2.6562,2.6870,2.7850,2.8725,2.9546,3.0571,3.1450,3.2822
2021-02-09,FR007利率互换收盘曲线,16:30,均值,2.6007,2.6025,2.6348,2.6613,2.6881,2.7910,2.8829,2.9653,3.0579,3.1775,3.3200
2021-02-09,FR007利率互换收盘曲线,16:30,报卖,2.6035,2.6125,2.6386,2.6664,2.6891,2.7971,2.8933,2.9759,3.0587,3.2100,3.3578
2021-02-08,FR007利率互换收盘曲线,16:30,报买,2.4849,2.6014,2.6531,2.6750,2.7038,2.8007,2.8844,2.9750,3.0725,3.1613,3.3185
2021-02-08,FR007利率互换收盘曲线,16:30,均值,2.4899,2.6196,2.6628,2.6797,2.7062,2.8054,2.8982,2.9827,3.0756,3.1881,3.3519
2021-02-08,FR007利率互换收盘曲线,16:30,报卖,2.4950,2.6378,2.6725,2.6844,2.7085,2.8102,2.9120,2.9904,3.0787,3.2150,3.3853
2021-02-07,FR007利率互换收盘曲线,16:30,报买,2.4370,2.5850,2.6125,2.6275,2.6750,2.7800,2.8575,2.9450,3.0400,3.1500,3.2775
2021-02-07,FR007利率互换收盘曲线,16:30,均值,2.4439,2.6100,2.6375,2.6538,2.6825,2.7888,2.8738,2.9588,3.0425,3.1738,3.3088
